planet_name,star_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,pl_insol,habitability_score,habitable
K2-27 b,K2-27,4.48,30.9,6.771315,902.0,5248.0,116.0,0.0,0
K2-27 b,K2-27,4.74,30.2,6.771347,836.0,5246.0,116.0,0.0,0
K2-277 b,K2-277,2.23,7.4,6.32677,953.0,5705.0,195.0,0.0,0
K2-280 b,K2-280,7.46,49.0,19.895,736.0,5741.0,69.5,0.0,0
K2-285 b,K2-285,2.59,9.68,3.471745,1088.9,4975.0,234.31,0.0,0
K2-285 c,K2-285,3.53,15.68,7.138048,741.4,4975.0,50.35,0.0,0
K2-285 d,K2-285,2.48,6.5,10.45582,619.9,4975.0,24.61,0.10614936586710787,0
K2-285 e,K2-285,1.95,10.7,14.76289,500.9,4975.0,10.5,0.28618909257927955,0
K2-291 b,K2-291,1.589,6.49,2.225177,1278.0,5520.0,633.0,0.0,0
K2-292 b,K2-292,2.63,24.5,16.9841,795.0,5725.0,67.0,0.0,0
K2-3 b,K2-3,2.14,6.48,10.054626,463.0,3896.0,11.0,0.3434276566285912,0
K2-3 b,K2-3,2.25,6.47,10.054626,513.0,3835.0,11.6,0.26720118495620815,0
K2-3 b,K2-3,2.078,5.11,10.0546535,501.3,3844.0,10.5,0.30682800101331814,0
K2-3 c,K2-3,1.69,3.3,24.646582,381.0,3835.0,3.51,0.5392572171418325,0
K2-3 c,K2-3,1.72,2.14,24.646582,344.0,3896.0,3.0,0.6368277427612355,1
K2-3 c,K2-3,1.582,2.68,24.646729,371.8,3844.0,3.17,0.5851847850926573,0
K2-3 d,K2-3,1.458,2.2,44.55603,305.2,3844.0,1.44,0.7182360643471755,1
K2-3 d,K2-3,1.62,1.6,44.556456,312.0,3835.0,1.6,0.7393518518518518,1
K2-3 d,K2-3,1.52,2.8,44.556456,282.0,3896.0,282.0,0.6961779448621553,1
K2-31 b,K2-31,46.0,551.0,1.25784906,1688.0,5340.0,1930.0,0.0,0
K2-32 b,K2-32,5.038,16.3,8.99196,761.0,5274.0,79.5,0.0,0
K2-32 b,K2-32,5.13,16.5,8.99213,817.0,5275.0,77.7,0.0,0
K2-32 c,K2-32,3.01,5.7,20.66093,577.0,5274.0,26.2,0.15091046414485823,0
K2-32 c,K2-32,3.01,12.1,20.6602,619.0,5275.0,25.6,0.06473894029390857,0
K2-32 d,K2-32,3.33,13.7,31.7169,500.0,5274.0,14.8,0.21754345586462373,0
K2-32 d,K2-32,3.43,10.3,31.7154,537.0,5275.0,14.5,0.1707564371102116,0
